Category,English Phrase,Traditional Chinese,Cultural Context
NHS & Healthcare,GP,全科醫生,General Practitioner — your primary care doctor in the UK; you are registered with a specific GP surgery
NHS & Healthcare,surgery,醫務所 / 診所,"in the UK a GP surgery is a doctor's clinic, not an operation — context matters"
NHS & Healthcare,NHS,英國國民健康服務,National Health Service — the UK's publicly funded healthcare system; most treatment is free at point of use
NHS & Healthcare,A&E,急症室,Accident and Emergency — the UK term for the emergency room or ER
NHS & Healthcare,prescription charge,處方費,a fixed fee paid for NHS prescriptions — currently free in Scotland and Wales
NHS & Healthcare,referral,轉介,a GP referral is needed to see most specialists on the NHS
NHS & Healthcare,walk-in centre,即診中心,a clinic where you can be seen without an appointment for minor issues
NHS & Healthcare,111,111急救電話,the NHS non-emergency medical helpline — call 111 for urgent but non-life-threatening issues
NHS & Healthcare,999,999緊急電話,the UK emergency services number — equivalent to 911 in the US
NHS & Healthcare,chemist,藥房,a pharmacy — where you collect prescriptions and buy over-the-counter medicine
Pub Culture,pub,酒吧,short for public house — a central institution of British social life
Pub Culture,round,請大家飲一轉 / 包一輪,the custom of taking turns buying drinks for the whole group — refusing a round is considered rude
Pub Culture,whose round is it?,這輪誰請？,asking who is next to buy drinks for the group
Pub Culture,last orders,最後點酒時間,the final call to order before the bar closes — usually announced 20 minutes before closing
Pub Culture,"time, please",請結束點酒,the barman's announcement that the pub is now closing
Pub Culture,lock-in,打烊後繼續喝,staying in a pub after official closing with the landlord's permission — technically illegal but common among regulars
Pub Culture,the local,常去的酒吧,your regular neighbourhood pub — a British person's local is often a point of personal identity
Pub Culture,gastropub,提供精緻餐點的酒吧,a pub that serves high-quality food — a major development in British pub culture since the 1990s
Pub Culture,bitter,苦啤酒,a traditional British style of cask ale — the most traditional pub drink
Pub Culture,real ale,傳統桶裝啤酒,traditionally brewed cask beer — a point of pride in British pub culture
Queuing,queue,排隊,the British queue is sacred — cutting in is considered one of the most offensive social behaviours
Queuing,jump the queue,插隊,to cut in line — treated as a serious social violation in British culture
Queuing,form an orderly queue,有秩序地排隊,a phrase that embodies British values — patience and fairness in waiting
Queuing,after you,您先請,insisting that someone else goes first — a common British politeness especially at doors
Queuing,queue for everything,什麼都要排隊,British people will queue instinctively for almost anything — a well-known cultural trait
Weather as Social Ritual,lovely weather we're having,天氣真好呢,used to start conversations — the British use weather talk to break ice in almost any situation
Weather as Social Ritual,very unsettled at the moment,天氣很不穩定,British way of describing unpredictable rainy weather without complaining too directly
Weather as Social Ritual,we could do with some rain,我們需要點雨,said ironically after weeks of grey weather — or genuinely after a dry summer
Weather as Social Ritual,it's brightened up nicely,天放晴了,genuine pleasure expressed when weather improves — a significant emotional event for British people
Weather as Social Ritual,four seasons in one day,一天四季,commonly said about British weather — accurate in most parts of the UK
Weather as Social Ritual,typical British summer,典型的英國夏天,said with ironic resignation when summer is cold and rainy — which it often is
Class & Social,working class,工人階級,"a significant social identity in the UK — distinct accent, vocabulary and cultural values"
Class & Social,middle class,中產階級,"a broad social category — accent, education and job type are all markers in British class culture"
Class & Social,upper class / posh,上流社會 / 有錢有地位,"associated with private schooling, aristocracy and received pronunciation accent"
Class & Social,council estate,公共住宅區,social housing managed by the local council — carries significant social connotations
Class & Social,public school,私立學校（精英）,confusingly in the UK a public school is actually a fee-paying private school like Eton or Harrow
Class & Social,state school,公立學校,a government-funded school — what Americans would call a public school
Class & Social,received pronunciation (RP),標準英式英語發音,the accent historically associated with educated southern English — BBC English
Class & Social,estuary English,河口英語（倫敦腔）,a modern accent blending RP and cockney — common in London and southeast England
Class & Social,cockney,倫敦東區口音,a working-class London accent and dialect from the East End
Class & Social,northern accent,北方口音,"a broad term for accents from cities like Manchester, Liverpool and Newcastle"
Everyday Admin,council,地方議會,"the local government body responsible for services like bins, planning and local roads"
Everyday Admin,council tax,地方稅,a local tax paid by residents to fund local government services
Everyday Admin,rates,稅率 / 地方稅,an older term for local property taxes — still used informally
Everyday Admin,HMRC,英國稅務局,His Majesty's Revenue and Customs — the UK tax authority
Everyday Admin,national insurance,國民保險,"a payroll tax that funds the NHS, state pension and other benefits"
Everyday Admin,self-assessment,自我申報所得稅,the system by which self-employed people and others file tax returns in the UK
Everyday Admin,DWP,英國就業退休金部,Department for Work and Pensions — handles benefits and pension payments
Everyday Admin,universal credit,全民信用福利金,the main UK welfare benefit replacing several previous benefits
Everyday Admin,jobseeker's allowance,求職者津貼,a benefit paid to people actively looking for work
