Category,English Expression,Traditional Chinese,Usage Note
Everyday Slang,brilliant,好正 / 勁,used constantly to mean great or excellent — far broader than American English
Everyday Slang,lovely,真好,used broadly for anything pleasant — not just physical beauty
Everyday Slang,cheers,唔該 / 飲杯,"means thank you, goodbye, or a drinking toast — extremely common"
Everyday Slang,ta,謝啦,"very informal thank you, especially in northern England"
Everyday Slang,gutted,好灰 / 好頹,deeply disappointed or devastated
Everyday Slang,chuffed,很得意,very pleased or proud about something
Everyday Slang,knackered,攰到死 / 散晒,extremely tired and exhausted
Everyday Slang,dodgy,可疑的 / 不可靠的,"suspicious, unreliable, or of questionable quality"
Everyday Slang,faff,瞎忙 / 浪費時間,to waste time on something unnecessarily complicated
Everyday Slang,faff about,拖拖拉拉,to mess around without achieving anything
Everyday Slang,gobsmacked,目瞪口呆,completely astonished and speechless
Everyday Slang,cheeky,厚臉皮 / 俏皮的,playfully rude or bold in an endearing way
Everyday Slang,miffed,有點不高興,slightly annoyed or offended
Everyday Slang,stroppy,脾氣差 / 愛鬧彆扭,bad-tempered or difficult
Everyday Slang,bloke,男人 / 傢伙,an ordinary man — equivalent to guy in American English
Everyday Slang,lad,小伙子,"a young man, often implying sociable behaviour"
Everyday Slang,lass,女孩 / 姑娘,a young woman — more common in northern England and Scotland
Everyday Slang,mate,朋友 / 兄弟,friend — used extremely frequently in British English
Everyday Slang,banter,鬥嘴 / 玩笑,playful teasing between friends — a cornerstone of British social life
Everyday Slang,taking the mickey,嘲弄 / 取笑,making fun of someone in a light-hearted way
Everyday Slang,wind someone up,故意逗人,to tease or deliberately irritate someone
Everyday Slang,having a laugh,開玩笑吧,"joking around, or expressing disbelief"
Everyday Slang,skint,沒錢 / 窮困,having no money — completely broke
Everyday Slang,quid,英鎊,one British pound — quid is always singular
Everyday Slang,tenner,十英鎊,a ten pound note
Everyday Slang,fiver,五英鎊,a five pound note
Everyday Slang,posh,高檔 / 有錢的,"upper class, fancy or expensive"
Everyday Slang,naff,俗氣 / 過時的,"unfashionable, tacky or in poor taste"
Everyday Slang,pants,很爛 / 很差,rubbish or bad — also literally means underwear
Everyday Slang,rubbish,垃圾 / 很爛,bad or nonsense — also literally waste material
Everyday Slang,sorted,搞定了,"arranged, fixed or resolved — everything is sorted means all is well"
Everyday Slang,sussed,搞清楚了,figured out or cleverly aware of a situation
Everyday Slang,skive,翹班 / 偷懶,to avoid work or school by making excuses
Everyday Slang,bunk off,蹺課 / 溜走,to skip school or work without permission
Everyday Slang,legless,喝醉了,very drunk
Everyday Slang,hammered,爛醉,very drunk
Everyday Slang,booze,酒,alcohol in general
