Category,English Sentence,Traditional Chinese Translation,Grammar / Usage Note
Work & Career,She has been working at the same company for over ten years and was recently promoted to senior manager.,佢最近升咗做高級經理。,present perfect continuous + recently promoted
Work & Career,He decided to leave his job and start his own business after years of saving and planning.,佢決定辭職自己創業。,after + gerund phrase for sequence
Work & Career,I have a meeting with my manager this afternoon to discuss my performance review.,我今日下晝要同經理開會。,present arrangement for near future
Work & Career,She found the job through a recruitment agency and started the following week.,她通過招聘機構找到了這份工作，並在下週開始上班。,past sequence with following
Work & Career,He works well under pressure and always delivers high-quality work on time.,他在壓力下工作表現很好，總是能準時交出高品質的工作成果。,positive professional traits
Work & Career,I applied for the position online and received a call for an interview two days later.,我在網上申請了這個職位，兩天後接到了面試電話。,past sequence with time reference
Work & Career,She is responsible for managing a team of fifteen people and overseeing all project timelines.,她負責管理一個十五人的團隊，並監督所有專案時間表。,be responsible for + gerund list
Work & Career,He was made redundant last year but managed to find a new job within three months.,他去年被裁員，但在三個月內設法找到了新工作。,past passive with but managed to
Work & Career,I find working from home much more productive as there are fewer distractions.,我發現在家工作效率更高，因為干擾較少。,I find + comparative + as clause for reason
Work & Career,She negotiated a higher salary before accepting the job offer.,她在接受工作邀請之前協商了更高的薪資。,past simple with before + gerund
Work & Career,He takes his professional development seriously and attends at least two training courses a year.,他非常重視自己的職業發展，每年至少參加兩次培訓課程。,takes seriously + frequency expression
Work & Career,I gave my resignation with one month's notice as required by my contract.,我按照合約要求，提前一個月提出了辭職。,as required by for formal reason
Work & Career,She collaborates well with her colleagues and is always willing to share her knowledge.,她與同事合作得很好，總是樂於分享她的知識。,positive professional trait with always willing
Work & Career,He has just been offered a position at a company overseas and is considering whether to accept.,他剛剛獲得了一家海外公司的職位邀請，正在考慮是否接受。,present perfect just + present continuous considering
Work & Career,Working in a fast-paced environment has taught me to prioritise tasks effectively.,在快節奏的環境中工作讓我學會了有效地安排任務優先順序。,gerund subject + taught me to
Work & Career,She is passionate about her work and often goes above and beyond what is expected.,她對自己的工作充滿熱情，常常超出預期地付出。,go above and beyond for extra effort
Work & Career,"I have been commuting for two hours every day, which is one of the reasons I want to work remotely.",我每天通勤兩個小時，這是我想要遠距工作的原因之一。,present perfect continuous + which clause
Work & Career,He built strong professional relationships throughout his career that have opened many doors for him.,他在整個職業生涯中建立了牢固的職業關係，這為他打開了很多大門。,that relative clause for career benefit
Work & Career,"The company offers excellent benefits including health insurance, annual leave, and flexible working hours.",這家公司提供優良的福利，包括健康保險、年假和彈性工作時間。,including + list for company benefits
Work & Career,She keeps a record of her achievements so that she is prepared for her annual performance review.,她記錄自己的成就，以便為年度績效考核做好準備。,so that clause for purpose
Education,She studied hard for months before her exams and was delighted when she passed.,她在考試前努力學習了幾個月，通過考試時非常高興。,past simple sequence with emotional result
Education,He graduated with a first-class degree in computer science and immediately received several job offers.,他以電腦科學一等學位畢業，並立即收到了幾份工作邀請。,graduate with a degree + immediate result
Education,I am taking an online course in data analysis to improve my career prospects.,我正在上一門數據分析的線上課程，以改善我的職業前景。,present continuous with infinitive of purpose
Education,"She was the first person in her family to go to university, which was a huge achievement.",她是家族中第一個上大學的人，這是一項巨大的成就。,first person to + infinitive with which clause
Education,He found the first year of university very challenging but gradually adapted to the workload.,他發現大學第一年非常具有挑戰性，但逐漸適應了課業量。,past simple with but + gradually for adjustment
Education,I have been revising for my final exams and have not had much time for anything else.,我一直在為期末考試複習，沒有太多時間做其他事情。,present perfect continuous + present perfect negative
Education,She received a scholarship that covered her tuition fees and living expenses for three years.,她獲得了一筆獎學金，支付了她三年的學費和生活費用。,that clause specifying what the scholarship covered
Education,He is studying for a professional qualification alongside his full-time job.,他一邊做全職工作，一邊攻讀專業資格。,present continuous with alongside for dual activity
Education,I struggled with maths at school but later discovered a passion for statistics at university.,我在學校時數學很吃力，但後來在大學發現了對統計學的熱情。,contrast with but + later discovery
Education,She chose her university based on its strong reputation in her field of study.,她根據大學在她研究領域的良好聲譽來選擇學校。,based on + reason for decision
Education,He dropped out of his course in the first year but went back to study five years later.,他在第一年就退學了，但五年後重返學習。,past simple with contrasting but
Education,The teacher explained the concept so clearly that every student in the class understood it.,老師把這個概念解釋得非常清楚，班上每個學生都理解了。,so... that for result
Education,I realised that I had chosen the wrong course after my first semester and transferred to a different one.,我在第一個學期後意識到我選錯了課程，並轉到了另一個課程。,past perfect + past simple for discovery and action
Education,"She was awarded a distinction for her dissertation, which was published in an academic journal.",她的畢業論文獲得了優異的成績，並被發表在一本學術期刊上。,passive with which clause for further outcome
Education,He attends evening classes after work three times a week to learn a second language.,他每週三次在下班後參加夜間課程學習第二語言。,frequency + after work for part-time study routine
Education,I find group study sessions much more effective than studying alone.,我發現小組學習比單獨學習有效得多。,I find + comparative + than
Education,She applied to several universities and was offered places at all of them.,她申請了幾所大學，並獲得了所有學校的錄取通知。,past passive with all of them
Education,He is the most dedicated student in the class and always submits his work early.,他是班上最認真的學生，總是提前提交作業。,superlative with always for habit
Education,Taking a gap year before university gave her time to gain valuable work experience.,大學前的間隔年給了她時間積累寶貴的工作經驗。,gerund subject + gave time to
Education,I wish I had studied harder when I was younger because it would have made a big difference.,我希望年輕的時候更努力學習，因為那會帶來很大的不同。,I wish + past perfect for regret
Health,She has been feeling exhausted lately and her doctor advised her to take a few days off work.,她最近一直感到精疲力竭，她的醫生建議她休息幾天不工作。,present perfect continuous + advised to
Health,He broke his wrist in a cycling accident and needed surgery to repair the damage.,他在騎自行車事故中摔斷了手腕，需要手術修復損傷。,past simple sequence with needed to
Health,I have been trying to eat more healthily by cutting out processed food and cooking from scratch.,我一直在嘗試通過不吃加工食品和從頭開始烹飪來吃得更健康。,present perfect continuous + by + gerund
Health,She was diagnosed with high blood pressure and was told to reduce her salt intake.,她被診斷出患有高血壓，並被告知要減少鹽分攝取。,past passive diagnosis + told to
Health,He recovered from his illness much more quickly than the doctors had expected.,他從疾病中康復的速度比醫生預期的要快得多。,past simple + comparative + past perfect
Health,I have started going to the gym three times a week since my doctor told me to exercise more.,自從醫生告訴我多運動以來，我已經開始每週去三次健身房了。,present perfect + since + past simple trigger
